athlete,athleteLabel,sportLabel,award,awardLabel,medalTypeLabel,year,countryLabel
http://www.wikidata.org/entity/Q2832655,"Кауфман, Алёна Владимировна",биатлон,http://www.wikidata.org/entity/Q18080423,орден «За заслуги перед Отечеством» IV степени,,,Россия
http://www.wikidata.org/entity/Q2832655,"Кауфман, Алёна Владимировна",биатлон,http://www.wikidata.org/entity/Q19030089,медаль ордена «За заслуги перед Отечеством» II степени,,,Россия
http://www.wikidata.org/entity/Q2832655,"Кауфман, Алёна Владимировна",биатлон,http://www.wikidata.org/entity/Q32164,заслуженный мастер спорта России,,,Россия
http://www.wikidata.org/entity/Q15979660,"Коновалова, Светлана Игоревна",биатлон,http://www.wikidata.org/entity/Q18080423,орден «За заслуги перед Отечеством» IV степени,,,Россия
http://www.wikidata.org/entity/Q15979660,"Коновалова, Светлана Игоревна",биатлон,http://www.wikidata.org/entity/Q3843021,мастер спорта России международного класса,,,Россия
http://www.wikidata.org/entity/Q15979660,"Коновалова, Светлана Игоревна",биатлон,http://www.wikidata.org/entity/Q18080423,орден «За заслуги перед Отечеством» IV степени,,,СССР
http://www.wikidata.org/entity/Q15979660,"Коновалова, Светлана Игоревна",биатлон,http://www.wikidata.org/entity/Q3843021,мастер спорта России международного класса,,,СССР
http://www.wikidata.org/entity/Q4231098,"Кононова, Александра Николаевна",биатлон,http://www.wikidata.org/entity/Q29017353,орден «За заслуги» I степени,,,Украина
http://www.wikidata.org/entity/Q4231098,"Кононова, Александра Николаевна",биатлон,http://www.wikidata.org/entity/Q29017281,орден «За заслуги» III степени,,,Украина
http://www.wikidata.org/entity/Q4231098,"Кононова, Александра Николаевна",биатлон,http://www.wikidata.org/entity/Q29017356,орден «За заслуги» II степени,,,Украина
http://www.wikidata.org/entity/Q4270710,"Лысова, Михалина Анатольевна",биатлон,http://www.wikidata.org/entity/Q18080423,орден «За заслуги перед Отечеством» IV степени,,,Россия
http://www.wikidata.org/entity/Q4270710,"Лысова, Михалина Анатольевна",биатлон,http://www.wikidata.org/entity/Q791135,орден Дружбы,,,Россия
http://www.wikidata.org/entity/Q4270710,"Лысова, Михалина Анатольевна",биатлон,http://www.wikidata.org/entity/Q32164,заслуженный мастер спорта России,,,Россия
http://www.wikidata.org/entity/Q4270710,"Лысова, Михалина Анатольевна",биатлон,http://www.wikidata.org/entity/Q2268261,орден Почёта,,,Россия
http://www.wikidata.org/entity/Q76455,Магдалена Нойнер,биатлон,http://www.wikidata.org/entity/Q1571341,Зал славы немецкого спорта,,,Германия
http://www.wikidata.org/entity/Q76455,Магдалена Нойнер,биатлон,http://www.wikidata.org/entity/Q672787,Баварский орден «За заслуги»,,,Германия
http://www.wikidata.org/entity/Q76455,Магдалена Нойнер,биатлон,http://www.wikidata.org/entity/Q315026,Серебряный лавровый лист,,,Германия
http://www.wikidata.org/entity/Q254252,Мари Дорен-Абер,биатлон,http://www.wikidata.org/entity/Q10855271,кавалер ордена Почётного легиона,,,Франция
http://www.wikidata.org/entity/Q254252,Мари Дорен-Абер,биатлон,http://www.wikidata.org/entity/Q13422140,офицер ордена «За заслуги»,,,Франция
http://www.wikidata.org/entity/Q240680,Мари-Лор Брюне,биатлон,http://www.wikidata.org/entity/Q13422140,офицер ордена «За заслуги»,,,Франция
http://www.wikidata.org/entity/Q18600743,"Меркушина, Анастасия Олеговна",биатлон,http://www.wikidata.org/entity/Q29561486,орден княгини Ольги III степени,,,Украина
http://www.wikidata.org/entity/Q18600743,"Меркушина, Анастасия Олеговна",биатлон,http://www.wikidata.org/entity/Q29561485,орден княгини Ольги II степени,,,Украина
http://www.wikidata.org/entity/Q15972318,"Миннегулов, Рушан Рустемович",биатлон,http://www.wikidata.org/entity/Q32164,заслуженный мастер спорта России,,,Россия
http://www.wikidata.org/entity/Q15972318,"Миннегулов, Рушан Рустемович",биатлон,http://www.wikidata.org/entity/Q18080423,орден «За заслуги перед Отечеством» IV степени,,,Россия
http://www.wikidata.org/entity/Q15972318,"Миннегулов, Рушан Рустемович",биатлон,http://www.wikidata.org/entity/Q3843021,мастер спорта России международного класса,,,Россия
http://www.wikidata.org/entity/Q60480,Мириам Гёсснер,биатлон,http://www.wikidata.org/entity/Q315026,Серебряный лавровый лист,,,Германия
http://www.wikidata.org/entity/Q16000891,"Мурыгин, Григорий Александрович",биатлон,http://www.wikidata.org/entity/Q32164,заслуженный мастер спорта России,,,Россия
http://www.wikidata.org/entity/Q16000891,"Мурыгин, Григорий Александрович",биатлон,http://www.wikidata.org/entity/Q791135,орден Дружбы,,,Россия
http://www.wikidata.org/entity/Q17057529,Наталья Братюк,биатлон,http://www.wikidata.org/entity/Q19030539,медаль ордена «За заслуги перед Отечеством» I степени,,,Россия
http://www.wikidata.org/entity/Q432987,Ольга Геннадьевна Вилухина,биатлон,http://www.wikidata.org/entity/Q791135,орден Дружбы,,,Россия
http://www.wikidata.org/entity/Q17106580,"Пономарёв, Олег Сергеевич",биатлон,http://www.wikidata.org/entity/Q19030089,медаль ордена «За заслуги перед Отечеством» II степени,,,Россия
http://www.wikidata.org/entity/Q19577612,"Проньков, Александр Вячеславович",биатлон,http://www.wikidata.org/entity/Q791135,орден Дружбы,,,Россия
http://www.wikidata.org/entity/Q15979662,"Ремизова, Елена Александровна",биатлон,http://www.wikidata.org/entity/Q18080423,орден «За заслуги перед Отечеством» IV степени,,,Россия
http://www.wikidata.org/entity/Q15979662,"Ремизова, Елена Александровна",биатлон,http://www.wikidata.org/entity/Q32164,заслуженный мастер спорта России,,,Россия
http://www.wikidata.org/entity/Q236225,Светлана Юрьевна Слепцова,биатлон,http://www.wikidata.org/entity/Q791135,орден Дружбы,,,Россия
http://www.wikidata.org/entity/Q2287432,Симон Детьё,биатлон,http://www.wikidata.org/entity/Q10855271,кавалер ордена Почётного легиона,,,Франция
http://www.wikidata.org/entity/Q681271,Симон Шемпп,биатлон,http://www.wikidata.org/entity/Q315026,Серебряный лавровый лист,,,Германия
http://www.wikidata.org/entity/Q4759246,"Токарев, Андрей Александрович",биатлон,http://www.wikidata.org/entity/Q2268261,орден Почёта,,,Россия
http://www.wikidata.org/entity/Q1450167,Франциска Пройс,биатлон,http://www.wikidata.org/entity/Q672787,Баварский орден «За заслуги»,,,Германия
http://www.wikidata.org/entity/Q15924604,"Чохлаев, Станислав Мусаевич",биатлон,http://www.wikidata.org/entity/Q791135,орден Дружбы,,,Россия
http://www.wikidata.org/entity/Q60835612,"Шишкин, Денис Николаевич",биатлон,http://www.wikidata.org/entity/Q9317276,мастер спорта России,,,Россия
http://www.wikidata.org/entity/Q48955134,Эдуард Ратмилевич Латыпов,биатлон,http://www.wikidata.org/entity/Q32164,заслуженный мастер спорта России,,,Россия
http://www.wikidata.org/entity/Q48955134,Эдуард Ратмилевич Латыпов,биатлон,http://www.wikidata.org/entity/Q19030089,медаль ордена «За заслуги перед Отечеством» II степени,,,Россия
http://www.wikidata.org/entity/Q48955134,Эдуард Ратмилевич Латыпов,биатлон,http://www.wikidata.org/entity/Q583881,орден Дружбы народов,,,Россия
http://www.wikidata.org/entity/Q461543,Юлия Валентиновна Джима,биатлон,http://www.wikidata.org/entity/Q29561486,орден княгини Ольги III степени,,,Украина
http://www.wikidata.org/entity/Q461543,Юлия Валентиновна Джима,биатлон,http://www.wikidata.org/entity/Q29017356,орден «За заслуги» II степени,,,Украина
http://www.wikidata.org/entity/Q461543,Юлия Валентиновна Джима,биатлон,http://www.wikidata.org/entity/Q29017281,орден «За заслуги» III степени,,,Украина
http://www.wikidata.org/entity/Q17057547,Юлия Владимировна Будалеева,биатлон,http://www.wikidata.org/entity/Q791135,орден Дружбы,,,Россия
http://www.wikidata.org/entity/Q337420,Яков Фак,биатлон,http://www.wikidata.org/entity/Q20520760,премия Блоудека,,,Словения
http://www.wikidata.org/entity/Q15911611,"Яровый, Максим Владимирович",биатлон,http://www.wikidata.org/entity/Q29017281,орден «За заслуги» III степени,,,Украина
http://www.wikidata.org/entity/Q265382,Валентина Александровна Семеренко,биатлон,http://www.wikidata.org/entity/Q29561486,орден княгини Ольги III степени,,2008,Украина
http://www.wikidata.org/entity/Q315034,Эмиль Хегле Свендсен,биатлон,http://www.wikidata.org/entity/Q11993519,Olavstatuetten,,2008,Норвегия
http://www.wikidata.org/entity/Q276867,Елена Михайловна Билосюк,биатлон,http://www.wikidata.org/entity/Q56367523,премия Кабинета Министров Украины за особые достижения молодежи в развитии Украины,,2009,Украина
http://www.wikidata.org/entity/Q276867,Елена Михайловна Билосюк,биатлон,http://www.wikidata.org/entity/Q56367523,премия Кабинета Министров Украины за особые достижения молодежи в развитии Украины,,2009,СССР
http://www.wikidata.org/entity/Q375558,Венсан Же,биатлон,http://www.wikidata.org/entity/Q10855271,кавалер ордена Почётного легиона,,2010,Франция
http://www.wikidata.org/entity/Q209193,Дарья Владимировна Домрачева,биатлон,http://www.wikidata.org/entity/Q32181,заслуженный мастер спорта Республики Беларусь,,2010,Россия
http://www.wikidata.org/entity/Q209193,Дарья Владимировна Домрачева,биатлон,http://www.wikidata.org/entity/Q32181,заслуженный мастер спорта Республики Беларусь,,2010,Беларусь
http://www.wikidata.org/entity/Q209193,Дарья Владимировна Домрачева,биатлон,http://www.wikidata.org/entity/Q32181,заслуженный мастер спорта Республики Беларусь,,2010,СССР
http://www.wikidata.org/entity/Q359348,Мартен Фуркад,биатлон,http://www.wikidata.org/entity/Q13422138,кавалер ордена «За заслуги» (Франция),,2010,Франция
http://www.wikidata.org/entity/Q120479,Тарьей Бё,биатлон,http://www.wikidata.org/entity/Q11981660,Kongepokal,,2011,Норвегия
http://www.wikidata.org/entity/Q209193,Дарья Владимировна Домрачева,биатлон,http://www.wikidata.org/entity/Q42307908,орден Отечества III степени,,2012,Россия
